source name	characteristics[organism part]	characteristics[organism]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[data file]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[separation]	comment[ionization]	comment[internalstandard]	comment[extraction]	comment[cleavage agent details]
529	skin of trunk	Homo sapiens	no disease reported	animal	529	f.MSV000078556/ccms_peak/Human_Swabs/Man/4m__BD6_01_1248.mzXML	4m__BD6_01_1248.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	529	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
530	skin of trunk	Homo sapiens	no disease reported	animal	530	f.MSV000078556/ccms_peak/Human_Swabs/Man/4m__BD7_01_1249.mzXML	4m__BD7_01_1249.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	530	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
531	skin of trunk	Homo sapiens	no disease reported	animal	531	f.MSV000078556/ccms_peak/Human_Swabs/Man/4m__BD8_01_1250.mzXML	4m__BD8_01_1250.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	531	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
532	skin of trunk	Homo sapiens	no disease reported	animal	532	f.MSV000078556/ccms_peak/Human_Swabs/Man/4m__BD9_01_1251.mzXML	4m__BD9_01_1251.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	532	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
533	skin of trunk	Homo sapiens	no disease reported	animal	533	f.MSV000078556/ccms_peak/Human_Swabs/Man/4m__BD10_01_1252.mzXML	4m__BD10_01_1252.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	533	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
534	skin of trunk	Homo sapiens	no disease reported	animal	534	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BA1_01_1307.mzXML	5m__BA1_01_1307.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	534	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
535	skin of trunk	Homo sapiens	no disease reported	animal	535	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BA2_01_1308.mzXML	5m__BA2_01_1308.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	535	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
536	skin of trunk	Homo sapiens	no disease reported	animal	536	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BA3_01_1309.mzXML	5m__BA3_01_1309.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	536	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
537	skin of trunk	Homo sapiens	no disease reported	animal	537	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BA4_01_1310.mzXML	5m__BA4_01_1310.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	537	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
538	skin of trunk	Homo sapiens	no disease reported	animal	538	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BA5_01_1311.mzXML	5m__BA5_01_1311.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	538	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
539	skin of trunk	Homo sapiens	no disease reported	animal	539	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BA6_01_1312.mzXML	5m__BA6_01_1312.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	539	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
540	skin of trunk	Homo sapiens	no disease reported	animal	540	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BA7_01_1313.mzXML	5m__BA7_01_1313.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	540	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
541	skin of trunk	Homo sapiens	no disease reported	animal	541	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BA8_01_1314.mzXML	5m__BA8_01_1314.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	541	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
542	skin of trunk	Homo sapiens	no disease reported	animal	542	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BA9_01_1315.mzXML	5m__BA9_01_1315.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	542	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
543	skin of trunk	Homo sapiens	no disease reported	animal	543	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BA10_01_1316.mzXML	5m__BA10_01_1316.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	543	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
544	skin of trunk	Homo sapiens	no disease reported	animal	544	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BA11_01_1317.mzXML	5m__BA11_01_1317.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	544	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
545	skin of trunk	Homo sapiens	no disease reported	animal	545	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BA12_01_1318.mzXML	5m__BA12_01_1318.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	545	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
546	skin of trunk	Homo sapiens	no disease reported	animal	546	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BB1_01_1319.mzXML	5m__BB1_01_1319.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	546	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
547	skin of trunk	Homo sapiens	no disease reported	animal	547	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BB2_01_1320.mzXML	5m__BB2_01_1320.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	547	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
548	skin of trunk	Homo sapiens	no disease reported	animal	548	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BB3_01_1321.mzXML	5m__BB3_01_1321.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	548	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
549	skin of trunk	Homo sapiens	no disease reported	animal	549	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BB4_01_1322.mzXML	5m__BB4_01_1322.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	549	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
550	skin of trunk	Homo sapiens	no disease reported	animal	550	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BB5_01_1323.mzXML	5m__BB5_01_1323.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	550	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
551	skin of trunk	Homo sapiens	no disease reported	animal	551	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BB6_01_1324.mzXML	5m__BB6_01_1324.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	551	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
552	skin of trunk	Homo sapiens	no disease reported	animal	552	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BB7_01_1325.mzXML	5m__BB7_01_1325.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	552	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
553	skin of trunk	Homo sapiens	no disease reported	animal	553	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BB8_01_1326.mzXML	5m__BB8_01_1326.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	553	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
554	skin of trunk	Homo sapiens	no disease reported	animal	554	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BB9_01_1327.mzXML	5m__BB9_01_1327.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	554	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
555	skin of trunk	Homo sapiens	no disease reported	animal	555	f.MSV000078556/ccms_peak/Human_Swabs/Man/5m__BB10_01_1328.mzXML	5m__BB10_01_1328.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	555	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
556	skin of trunk	Homo sapiens	no disease reported	animal	556	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BE11_01_1979.mzXML	12m__BE11_01_1979.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	556	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
557	skin of trunk	Homo sapiens	no disease reported	animal	557	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BE12_01_1980.mzXML	12m__BE12_01_1980.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	557	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
558	skin of trunk	Homo sapiens	no disease reported	animal	558	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BF1_01_1981.mzXML	12m__BF1_01_1981.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	558	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
559	skin of trunk	Homo sapiens	no disease reported	animal	559	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BF2_01_1982.mzXML	12m__BF2_01_1982.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	559	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
560	skin of trunk	Homo sapiens	no disease reported	animal	560	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BF3_01_1983.mzXML	12m__BF3_01_1983.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	560	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
561	skin of trunk	Homo sapiens	no disease reported	animal	561	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BF4_01_1984.mzXML	12m__BF4_01_1984.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	561	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
562	skin of trunk	Homo sapiens	no disease reported	animal	562	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BF5_01_1985.mzXML	12m__BF5_01_1985.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	562	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
563	skin of trunk	Homo sapiens	no disease reported	animal	563	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BF6_01_1986.mzXML	12m__BF6_01_1986.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	563	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
564	skin of trunk	Homo sapiens	no disease reported	animal	564	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BF7_01_1987.mzXML	12m__BF7_01_1987.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	564	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
565	skin of trunk	Homo sapiens	no disease reported	animal	565	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BF8_01_1988.mzXML	12m__BF8_01_1988.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	565	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
566	skin of trunk	Homo sapiens	no disease reported	animal	566	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BF9_01_1989.mzXML	12m__BF9_01_1989.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	566	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
567	skin of trunk	Homo sapiens	no disease reported	animal	567	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BF10_01_1990.mzXML	12m__BF10_01_1990.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	567	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
568	skin of trunk	Homo sapiens	no disease reported	animal	568	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BF11_01_1991.mzXML	12m__BF11_01_1991.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	568	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
569	skin of trunk	Homo sapiens	no disease reported	animal	569	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BF12_01_1992.mzXML	12m__BF12_01_1992.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	569	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
570	skin of trunk	Homo sapiens	no disease reported	animal	570	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BG1_01_1993.mzXML	12m__BG1_01_1993.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	570	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
571	skin of trunk	Homo sapiens	no disease reported	animal	571	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BG2_01_1994.mzXML	12m__BG2_01_1994.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	571	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
572	skin of trunk	Homo sapiens	no disease reported	animal	572	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BG3_01_1995.mzXML	12m__BG3_01_1995.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	572	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
573	skin of trunk	Homo sapiens	no disease reported	animal	573	f.MSV000078556/ccms_peak/Human_Swabs/Woman/12m__BG4_01_1996.mzXML	12m__BG4_01_1996.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	573	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
574	skin of manus	Homo sapiens	no disease reported	animal	574	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BC10_01_1039.mzXML	2m__BC10_01_1039.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	574	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
575	skin of manus	Homo sapiens	no disease reported	animal	575	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BC11_01_1040.mzXML	2m__BC11_01_1040.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	575	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
576	skin of manus	Homo sapiens	no disease reported	animal	576	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BC12_01_1041.mzXML	2m__BC12_01_1041.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	576	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
577	skin of manus	Homo sapiens	no disease reported	animal	577	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BC9_01_1038.mzXML	2m__BC9_01_1038.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	577	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
578	skin of manus	Homo sapiens	no disease reported	animal	578	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD10_01_1051.mzXML	2m__BD10_01_1051.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	578	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
579	skin of manus	Homo sapiens	no disease reported	animal	579	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD11_01_1052.mzXML	2m__BD11_01_1052.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	579	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
580	skin of manus	Homo sapiens	no disease reported	animal	580	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD12_01_1053.mzXML	2m__BD12_01_1053.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	580	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
581	skin of manus	Homo sapiens	no disease reported	animal	581	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD1_01_1042.mzXML	2m__BD1_01_1042.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	581	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
582	skin of manus	Homo sapiens	no disease reported	animal	582	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD2_01_1043.mzXML	2m__BD2_01_1043.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	582	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
583	skin of manus	Homo sapiens	no disease reported	animal	583	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD3_01_1044.mzXML	2m__BD3_01_1044.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	583	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
584	skin of manus	Homo sapiens	no disease reported	animal	584	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD4_01_1045.mzXML	2m__BD4_01_1045.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	584	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
585	skin of manus	Homo sapiens	no disease reported	animal	585	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD5_01_1046.mzXML	2m__BD5_01_1046.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	585	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
586	skin of manus	Homo sapiens	no disease reported	animal	586	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD6_01_1047.mzXML	2m__BD6_01_1047.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	586	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
587	skin of manus	Homo sapiens	no disease reported	animal	587	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD7_01_1048.mzXML	2m__BD7_01_1048.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	587	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
588	skin of manus	Homo sapiens	no disease reported	animal	588	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD8_01_1049.mzXML	2m__BD8_01_1049.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	588	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
589	skin of manus	Homo sapiens	no disease reported	animal	589	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BD9_01_1050.mzXML	2m__BD9_01_1050.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	589	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
590	skin of manus	Homo sapiens	no disease reported	animal	590	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE1_01_1054.mzXML	2m__BE1_01_1054.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	590	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
591	skin of manus	Homo sapiens	no disease reported	animal	591	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE2_01_1055.mzXML	2m__BE2_01_1055.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	591	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
592	skin of manus	Homo sapiens	no disease reported	animal	592	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE3_01_1056.mzXML	2m__BE3_01_1056.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	592	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
593	skin of manus	Homo sapiens	no disease reported	animal	593	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE4_01_1057.mzXML	2m__BE4_01_1057.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	593	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
594	skin of manus	Homo sapiens	no disease reported	animal	594	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE5_01_1058.mzXML	2m__BE5_01_1058.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	594	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
595	skin of manus	Homo sapiens	no disease reported	animal	595	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE6_01_1059.mzXML	2m__BE6_01_1059.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	595	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
596	skin of manus	Homo sapiens	no disease reported	animal	596	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE7_01_1060.mzXML	2m__BE7_01_1060.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	596	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
597	skin of manus	Homo sapiens	no disease reported	animal	597	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE8_01_1061.mzXML	2m__BE8_01_1061.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	597	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
598	skin of manus	Homo sapiens	no disease reported	animal	598	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BE9_01_1062.mzXML	2m__BE9_01_1062.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	598	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
599	skin of manus	Homo sapiens	no disease reported	animal	599	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BA10_01_1015.mzXML	2m__BA10_01_1015.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	599	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
600	skin of manus	Homo sapiens	no disease reported	animal	600	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BA11_01_1016.mzXML	2m__BA11_01_1016.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	600	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
