Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell type]	Characteristics[disease]	Assay Name	Comment[fraction identifier]	Comment[file uri]	Comment[instrument]	Comment[label]	Comment[proteomics data acquisition method]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]	Material Type
Sample 90	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	unknown	run 90	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170520_MM93_03.raw	NT=Q Exactive Plus;AC=MS:1002722	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170520_MM93_03.raw	cell
Sample 91	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	unknown	run 91	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170521_MM10_04.raw	NT=Q Exactive Plus;AC=MS:1002723	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170521_MM10_04.raw	cell
Sample 92	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	unknown	run 92	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170521_MM113_04.raw	NT=Q Exactive Plus;AC=MS:1002724	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170521_MM113_04.raw	cell
Sample 93	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	unknown	run 93	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170521_MM115_04.raw	NT=Q Exactive Plus;AC=MS:1002725	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170521_MM115_04.raw	cell
Sample 94	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	not available	run 94	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170521_MM41_04.raw	NT=Q Exactive Plus;AC=MS:1002726	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170521_MM41_04.raw	cell
Sample 95	Homo sapiens	lower extremity	not available	not available	not available	male	not applicable	not available	run 95	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170521_MM8_04.raw	NT=Q Exactive Plus;AC=MS:1002727	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170521_MM8_04.raw	cell
Sample 96	Homo sapiens	other	not available	not available	not available	male	not applicable	not available	run 96	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170522_MM123_04.raw	NT=Q Exactive Plus;AC=MS:1002728	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170522_MM123_04.raw	cell
Sample 97	Homo sapiens	other	not available	not available	not available	male	not applicable	not available	run 97	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170522_MM87_04.raw	NT=Q Exactive Plus;AC=MS:1002729	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170522_MM87_04.raw	cell
Sample 98	Homo sapiens	other	not available	not available	not available	male	not applicable	not available	run 98	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170522_MM88_04.raw	NT=Q Exactive Plus;AC=MS:1002730	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170522_MM88_04.raw	cell
Sample 99	Homo sapiens	other	not available	not available	not available	male	not applicable	not available	run 99	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/170522_MM89_04.raw	NT=Q Exactive Plus;AC=MS:1002731	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	170522_MM89_04.raw	cell
Sample 100	Homo sapiens	not applicable	not available	not available	not available	male	not applicable	not available	run 100	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/20160921_MM22.raw	NT=Q Exactive Plus;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	20160921_MM22.raw	cell
Sample 101	Homo sapiens	not applicable	not available	not available	not available	male	not applicable	not available	run 101	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/20161011_MM26_2.raw	NT=Q Exactive Plus;AC=MS:1002733	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	20161011_MM26_2.raw	cell
Sample 102	Homo sapiens	not applicable	not available	not available	not available	male	not applicable	not available	run 102	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/20161011_MM35_2.raw	NT=Q Exactive Plus;AC=MS:1002734	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	20161011_MM35_2.raw	cell
Sample 103	Homo sapiens	not applicable	not available	not available	not available	male	not applicable	not available	run 103	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/20161011_MM860_2.raw	NT=Q Exactive Plus;AC=MS:1002735	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	20161011_MM860_2.raw	cell
Sample 104	Homo sapiens	not applicable	not available	not available	not available	male	not applicable	not available	run 104	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/20161011_MM98_2.raw	NT=Q Exactive Plus;AC=MS:1002736	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	20161011_MM98_2.raw	cell
Sample 105	Homo sapiens	not applicable	not available	not available	not available	male	not applicable	not available	run 105	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/MM1.raw	NT=Q Exactive Plus;AC=MS:1002737	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	MM1.raw	cell
Sample 106	Homo sapiens	not applicable	not available	not available	not available	male	not applicable	not available	run 106	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/MM51.raw	NT=Q Exactive Plus;AC=MS:1002738	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	MM51.raw	cell
Sample 107	Homo sapiens	not applicable	not available	not available	not available	male	not applicable	not available	run 107	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/MM52.raw	NT=Q Exactive Plus;AC=MS:1002739	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	MM52.raw	cell
Sample 108	Homo sapiens	not applicable	not available	not available	not available	male	not applicable	not available	run 108	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/MM57.raw	NT=Q Exactive Plus;AC=MS:1002740	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	MM57.raw	cell
Sample 109	Homo sapiens	not applicable	not available	not available	not available	male	not applicable	not available	run 109	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/MM91.raw	NT=Q Exactive Plus;AC=MS:1002741	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	MM91.raw	cell
Sample 110	Homo sapiens	not applicable	not available	not available	not available	male	not applicable	not available	run 110	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/MM95.raw	NT=Q Exactive Plus;AC=MS:1002742	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	MM95.raw	cell
Sample 111	Homo sapiens	not applicable	not available	not available	not available	male	not applicable	not available	run 111	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD009630/MM99.raw	NT=Q Exactive Plus;AC=MS:1002743	NT=label free sample;AC=MS:1002038	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=MS:1000422	30% NCE	20 ppm	0.02 Da	MM99.raw	cell
