Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[cell line]	Characteristics[disease]	Characteristics[cell type]	Material Type	Assay Name	Comment[fraction identifier]	Comment[technical replicate]	Comment[file uri]	Comment[instrument]	Comment[MS2 analyzer type]	Comment[label]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]
Sample 127	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 47	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_12_hTT_II.raw
Sample 128	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 47	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_12_hTT_II.raw
Sample 122	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 56	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_24_hTT_II.raw
Sample 123	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 56	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_24_hTT_II.raw
Sample 124	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 56	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_24_hTT_II.raw
Sample 125	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 56	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_24_hTT_II.raw
Sample 126	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 56	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_24_hTT_II.raw
Sample 127	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 56	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_24_hTT_II.raw
Sample 128	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 56	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_24_hTT_II.raw
Sample 122	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 76	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_48_hTT_II.raw
Sample 123	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 76	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_48_hTT_II.raw
Sample 124	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 76	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_48_hTT_II.raw
Sample 125	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 76	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_48_hTT_II.raw
Sample 126	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 76	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_48_hTT_II.raw
Sample 127	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 76	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_48_hTT_II.raw
Sample 128	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 76	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d8_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d8_48_hTT_II.raw
Sample 130	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 35	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_I.raw
Sample 131	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 35	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_I.raw
Sample 132	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 35	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_I.raw
Sample 133	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 35	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_I.raw
Sample 134	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 35	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_I.raw
Sample 135	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 35	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_I.raw
Sample 136	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 35	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_I.raw
Sample 130	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 40	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_I.raw
Sample 131	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 40	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_I.raw
Sample 132	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 40	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_I.raw
Sample 133	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 40	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_I.raw
Sample 134	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 40	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_I.raw
Sample 135	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 40	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_I.raw
Sample 136	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 40	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_I.raw
Sample 130	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 55	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_I.raw
Sample 131	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 55	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_I.raw
Sample 132	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 55	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_I.raw
Sample 133	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 55	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_I.raw
Sample 134	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 55	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_I.raw
Sample 135	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 55	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_I.raw
Sample 136	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 55	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_I.raw
Sample 138	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 7	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_II.raw
Sample 139	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 7	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_II.raw
Sample 140	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 7	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_II.raw
Sample 141	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 7	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_II.raw
Sample 142	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 7	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_II.raw
Sample 143	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 7	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_II.raw
Sample 144	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 7	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_24_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_24_hTT_II.raw
Sample 138	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 26	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_II.raw
Sample 139	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 26	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_II.raw
Sample 140	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 26	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_II.raw
Sample 141	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 26	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_II.raw
Sample 142	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 26	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_II.raw
Sample 143	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 26	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_II.raw
Sample 144	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 26	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_48_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_48_hTT_II.raw
Sample 138	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 48	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_II.raw
Sample 139	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 48	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_II.raw
Sample 140	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 48	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_II.raw
Sample 141	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 48	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_II.raw
Sample 142	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 48	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_II.raw
Sample 143	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 48	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_II.raw
Sample 144	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 48	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d9_12_hTT_II.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d9_12_hTT_II.raw
Sample 146	Bacteroides thetaiotaomicron	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 8	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_I.raw
Sample 147	Bifidobacterium longum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 8	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_I.raw
Sample 148	Blautia producta	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 8	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_I.raw
Sample 149	Clostridium butyricum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 8	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_I.raw
Sample 150	Clostridium ramosum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 8	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_I.raw
Sample 151	Escherichia coliK-12	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 8	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_I.raw
Sample 152	Lactobacillus plantarum	not available	not available	not available	not available	not available	not available	not available	not available	bacterial strain	run 8	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD017035/d10_12_hTT_I.raw	NT=Q Exactive HF;AC=MS:1002523	not available	NT=label free sample;AC=MS:1002038	NT=NoEnzyme;AC=MS:1001091	not available	not available	not available	10 ppm	0.02 Da	d10_12_hTT_I.raw
