#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F14.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-14.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-14.raw	14	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F14.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-14.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-14.raw	14	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F14.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-14.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-14.raw	14	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F15.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-15.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-15.raw	15	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F15.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-15.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-15.raw	15	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F15.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-15.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-15.raw	15	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F15.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-15.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-15.raw	15	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F15.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-15.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-15.raw	15	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F15.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-15.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-15.raw	15	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F15.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-15.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-15.raw	15	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F15.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-15.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-15.raw	15	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F15.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-15.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-15.raw	15	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F15.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-15.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-15.raw	15	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F16.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	16	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F16.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	16	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F16.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	16	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F16.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	16	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F16.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	16	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F16.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	16	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F16.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	16	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F16.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	16	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F16.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	16	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F16.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-1.raw	16	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F17.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-17.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-17.raw	17	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F17.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-17.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-17.raw	17	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F17.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-17.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-17.raw	17	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F17.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-17.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-17.raw	17	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F17.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-17.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-17.raw	17	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F17.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-17.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-17.raw	17	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F17.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-17.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-17.raw	17	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F17.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-17.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-17.raw	17	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F17.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-17.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-17.raw	17	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F17.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-17.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-17.raw	17	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F18.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-18.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-18.raw	18	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F18.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-18.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-18.raw	18	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F18.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-18.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-18.raw	18	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F18.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-18.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-18.raw	18	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F18.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-18.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-18.raw	18	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F18.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-18.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-18.raw	18	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F18.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-18.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-18.raw	18	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F18.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-18.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-18.raw	18	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F18.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-18.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-18.raw	18	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F18.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-18.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-18.raw	18	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F19.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-19.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-19.raw	19	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F19.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-19.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-19.raw	19	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F19.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-19.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-19.raw	19	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F19.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-19.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-19.raw	19	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F19.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-19.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-19.raw	19	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F19.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-19.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-19.raw	19	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F19.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-19.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-19.raw	19	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F19.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-19.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-19.raw	19	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F19.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-19.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-19.raw	19	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F19.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-19.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-19.raw	19	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F20.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-20.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-20.raw	20	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F20.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-20.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-20.raw	20	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F20.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-20.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-20.raw	20	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F20.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-20.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-20.raw	20	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F20.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-20.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-20.raw	20	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F20.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-20.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-20.raw	20	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
wibj_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F20.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-20.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-20.raw	20	TMT129C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA181	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	4	F20.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-20.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-20.raw	20	TMT130N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F20.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-20.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-20.raw	20	TMT130C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
blank	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	F20.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-20.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-20.raw	20	TMT131N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
bubh_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F21.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-21.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-21.raw	21	TMT126	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H01	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	1	F21.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-21.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-21.raw	21	TMT127N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
kucg_2	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F21.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-21.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-21.raw	21	TMT127C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
H09	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	2	F21.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-21.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-21.raw	21	TMT128N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
oaqd_3	Homo sapiens	not applicable	hiPSC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F21.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-21.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-21.raw	21	TMT128C	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
SA121	Homo sapiens	not applicable	hESC	not applicable	not applicable	not applicable	not applicable	not applicable	3	F21.	proteomic profiling by mass spectrometry	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	PT-10244-21.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD014502/PT10244-21.raw	21	TMT129N	NT=Orbitrap Fusion	NT=trypsin	NT=TMT
