#file_format=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[medium]	characteristics[temperature]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[label].1	comment[file uri]
Run9_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	72	LB medium, then Terrific Broth	37°C	run 9	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_09_RZ_SBP_Exp9.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp9.raw
Run9_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	73	LB medium, then Terrific Broth	37°C	run 9	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_09_RZ_SBP_Exp9.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp9.raw
Run10_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	74	LB medium, then Terrific Broth	37°C	run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_10_RZ_SBP_Exp10.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp10.raw
Run10_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	75	LB medium, then Terrific Broth	37°C	run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_10_RZ_SBP_Exp10.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp10.raw
Run10_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	76	LB medium, then Terrific Broth	37°C	run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_10_RZ_SBP_Exp10.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp10.raw
Run10_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	77	LB medium, then Terrific Broth	37°C	run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_10_RZ_SBP_Exp10.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp10.raw
Run10_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	78	LB medium, then Terrific Broth	37°C	run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_10_RZ_SBP_Exp10.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp10.raw
Run10_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	79	LB medium, then Terrific Broth	37°C	run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_10_RZ_SBP_Exp10.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp10.raw
Run10_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	80	LB medium, then Terrific Broth	37°C	run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_10_RZ_SBP_Exp10.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp10.raw
Run10_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	81	LB medium, then Terrific Broth	37°C	run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_10_RZ_SBP_Exp10.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp10.raw
Run11_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	82	LB medium, then Terrific Broth	37°C	run 11	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_11_RZ_SBP_Exp11.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp11.raw
Run11_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	83	LB medium, then Terrific Broth	37°C	run 11	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_11_RZ_SBP_Exp11.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp11.raw
Run11_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	84	LB medium, then Terrific Broth	37°C	run 11	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_11_RZ_SBP_Exp11.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp11.raw
Run11_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	85	LB medium, then Terrific Broth	37°C	run 11	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_11_RZ_SBP_Exp11.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp11.raw
Run11_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	86	LB medium, then Terrific Broth	37°C	run 11	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_11_RZ_SBP_Exp11.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp11.raw
Run11_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	87	LB medium, then Terrific Broth	37°C	run 11	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_11_RZ_SBP_Exp11.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp11.raw
Run11_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	88	LB medium, then Terrific Broth	37°C	run 11	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_11_RZ_SBP_Exp11.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp11.raw
Run11_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	89	LB medium, then Terrific Broth	37°C	run 11	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_11_RZ_SBP_Exp11.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp11.raw
Run12_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	90	LB medium, then Terrific Broth	37°C	run 12	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_12_RZ_SBP_Exp12.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp12.raw
Run12_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	91	LB medium, then Terrific Broth	37°C	run 12	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_12_RZ_SBP_Exp12.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp12.raw
Run12_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	92	LB medium, then Terrific Broth	37°C	run 12	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_12_RZ_SBP_Exp12.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp12.raw
Run12_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	93	LB medium, then Terrific Broth	37°C	run 12	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_12_RZ_SBP_Exp12.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp12.raw
Run12_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	94	LB medium, then Terrific Broth	37°C	run 12	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_12_RZ_SBP_Exp12.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp12.raw
Run12_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	95	LB medium, then Terrific Broth	37°C	run 12	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_12_RZ_SBP_Exp12.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp12.raw
Run12_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	96	LB medium, then Terrific Broth	37°C	run 12	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_12_RZ_SBP_Exp12.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp12.raw
Run12_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	97	LB medium, then Terrific Broth	37°C	run 12	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_12_RZ_SBP_Exp12.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp12.raw
Run13_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	98	LB medium, then Terrific Broth	37°C	run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_13_RZ_SBP_Exp13.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp13.raw
Run13_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	99	LB medium, then Terrific Broth	37°C	run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_13_RZ_SBP_Exp13.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp13.raw
Run13_cell3	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	100	LB medium, then Terrific Broth	37°C	run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_13_RZ_SBP_Exp13.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp13.raw
Run13_cell4_and_5	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	101	LB medium, then Terrific Broth	37°C	run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_13_RZ_SBP_Exp13.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp13.raw
Run13_cell6_and_7	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	102	LB medium, then Terrific Broth	37°C	run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_13_RZ_SBP_Exp13.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp13.raw
Run13_cell8_and_9	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	103	LB medium, then Terrific Broth	37°C	run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_13_RZ_SBP_Exp13.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp13.raw
Run13_carrier_cells_1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	104	LB medium, then Terrific Broth	37°C	run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_13_RZ_SBP_Exp13.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp13.raw
Run13_carrier_cells_2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	105	LB medium, then Terrific Broth	37°C	run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_13_RZ_SBP_Exp13.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp13.raw
Run14_cell1	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	106	LB medium, then Terrific Broth	37°C	run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_14_RZ_SBP_Exp14.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp14.raw
Run14_cell2	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	107	LB medium, then Terrific Broth	37°C	run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221220_Ec_14_RZ_SBP_Exp14.raw	1	Label free sample	Orbitrap Eclipse	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	0.05 Da	10 ppm	NT=TMT6plex;AC=737;CF=H(20) C(8) 13C(4) N 15N O(2);MM=229.162932;MT=Variable;PP=Anywhere;TA=['K']	NT=HCD; AC=MS:1002481	35 %	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043473/20221220_Ec_01_RZ_SBP_Exp14.raw
