source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]
Sample 46	Mus musculus	kidney	5M	not applicable	not applicable	not applicable	Run 91	kidney_5mo_2_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 46	Mus musculus	kidney	5M	not applicable	not applicable	not applicable	Run 92	kidney_5mo_2_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 47	Mus musculus	kidney	5M	not applicable	not applicable	not applicable	Run 93	kidney_5mo_3_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 47	Mus musculus	kidney	5M	not applicable	not applicable	not applicable	Run 94	kidney_5mo_3_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 48	Mus musculus	kidney	5M	not applicable	not applicable	not applicable	Run 95	kidney_5mo_4_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 48	Mus musculus	kidney	5M	not applicable	not applicable	not applicable	Run 96	kidney_5mo_4_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 49	Mus musculus	liver	10M	not applicable	not applicable	not applicable	Run 97	liver_10mo_1_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 49	Mus musculus	liver	10M	not applicable	not applicable	not applicable	Run 98	liver_10mo_1_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 50	Mus musculus	liver	10M	not applicable	not applicable	not applicable	Run 99	liver_10mo_2_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 50	Mus musculus	liver	10M	not applicable	not applicable	not applicable	Run 100	liver_10mo_2_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 51	Mus musculus	liver	10M	not applicable	not applicable	not applicable	Run 101	liver_10mo_3_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 51	Mus musculus	liver	10M	not applicable	not applicable	not applicable	Run 102	liver_10mo_3_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 52	Mus musculus	liver	10M	not applicable	not applicable	not applicable	Run 103	liver_10mo_4_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 52	Mus musculus	liver	10M	not applicable	not applicable	not applicable	Run 104	liver_10mo_4_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 53	Mus musculus	liver	18M	not applicable	not applicable	not applicable	Run 105	liver_18mo_1_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 53	Mus musculus	liver	18M	not applicable	not applicable	not applicable	Run 106	liver_18mo_1_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 54	Mus musculus	liver	18M	not applicable	not applicable	not applicable	Run 107	liver_18mo_2_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 54	Mus musculus	liver	18M	not applicable	not applicable	not applicable	Run 108	liver_18mo_2_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 55	Mus musculus	liver	24M	not applicable	not applicable	not applicable	Run 109	liver_24mo_1_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 55	Mus musculus	liver	24M	not applicable	not applicable	not applicable	Run 110	liver_24mo_1_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 56	Mus musculus	liver	24M	not applicable	not applicable	not applicable	Run 111	liver_24mo_2_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 56	Mus musculus	liver	24M	not applicable	not applicable	not applicable	Run 112	liver_24mo_2_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 57	Mus musculus	liver	3M	not applicable	not applicable	not applicable	Run 113	liver_3mo_1_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 57	Mus musculus	liver	3M	not applicable	not applicable	not applicable	Run 114	liver_3mo_1_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 58	Mus musculus	liver	3M	not applicable	not applicable	not applicable	Run 115	liver_3mo_2_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 58	Mus musculus	liver	3M	not applicable	not applicable	not applicable	Run 116	liver_3mo_2_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 59	Mus musculus	liver	3M	not applicable	not applicable	not applicable	Run 117	liver_3mo_3_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 59	Mus musculus	liver	3M	not applicable	not applicable	not applicable	Run 118	liver_3mo_3_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 60	Mus musculus	liver	3M	not applicable	not applicable	not applicable	Run 119	liver_3mo_4_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 60	Mus musculus	liver	3M	not applicable	not applicable	not applicable	Run 120	liver_3mo_4_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 61	Mus musculus	liver	5M	not applicable	not applicable	not applicable	Run 121	liver_5mo_1_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 61	Mus musculus	liver	5M	not applicable	not applicable	not applicable	Run 122	liver_5mo_1_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 62	Mus musculus	liver	5M	not applicable	not applicable	not applicable	Run 123	liver_5mo_2_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 62	Mus musculus	liver	5M	not applicable	not applicable	not applicable	Run 124	liver_5mo_2_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 63	Mus musculus	liver	5M	not applicable	not applicable	not applicable	Run 125	liver_5mo_3_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 63	Mus musculus	liver	5M	not applicable	not applicable	not applicable	Run 126	liver_5mo_3_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 64	Mus musculus	liver	5M	not applicable	not applicable	not applicable	Run 127	liver_5mo_4_1-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
Sample 64	Mus musculus	liver	5M	not applicable	not applicable	not applicable	Run 128	liver_5mo_4_2-results.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001917;NT=glutamyl endopeptidase	AC=MS:1002417;NT= Orbitrap Fusion ETD	AC=MS:1000598;NT=electron transfer dissociation	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K,R;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	0.02 Da	1.05 Da
