Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[ancestry category]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[enrichment method]	Characteristics[enrichment process]	Characteristics[synthetic peptide]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[enrichment method]	Factor Value[enrichment process]
Sample 34	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 34	ES_XP_Phospho1_LM6_235.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho1_LM6_235.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 35	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 35	ES_XP_Phospho1_LM6_236.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho1_LM6_236.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 36	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 36	ES_XP_Phospho1_LM6_237.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho1_LM6_237.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 37	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 37	ES_XP_Phospho1_LM6_238.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho1_LM6_238.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 38	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 38	ES_XP_Phospho1_LM6_239.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho1_LM6_239.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 39	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 39	ES_XP_Phospho1_LM6_240.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho1_LM6_240.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 40	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 40	ES_XP_Phospho1_LM6_241.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho1_LM6_241.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 41	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 41	ES_XP_Phospho1_LM6_242.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho1_LM6_242.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 42	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 42	ES_XP_Phospho1_LM6_243.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho1_LM6_243.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 43	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 43	ES_XP_Phospho1_LM6_244.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho1_LM6_244.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 44	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 44	ES_XP_Phospho1_LM6_245.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho1_LM6_245.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 45	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 45	ES_XP_Phospho1_LM6_246.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho1_LM6_246.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 46	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 46	ES_XP_Phospho2_LM6_247.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_247.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 47	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 47	ES_XP_Phospho2_LM6_248.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_248.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 48	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 48	ES_XP_Phospho2_LM6_249.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_249.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 49	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 49	ES_XP_Phospho2_LM6_250.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_250.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 50	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 50	ES_XP_Phospho2_LM6_251.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_251.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 51	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 51	ES_XP_Phospho2_LM6_252.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_252.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 52	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 52	ES_XP_Phospho2_LM6_253.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_253.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 53	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 53	ES_XP_Phospho2_LM6_254.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_254.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 54	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 54	ES_XP_Phospho2_LM6_255.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_255.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 55	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 55	ES_XP_Phospho2_LM6_256.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_256.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 56	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 56	ES_XP_Phospho2_LM6_257.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_257.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 57	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 57	ES_XP_Phospho2_LM6_258.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_258.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 58	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 58	ES_XP_Phospho2_LM6_259.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_259.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 59	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 59	ES_XP_Phospho2_LM6_260.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_260.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 60	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 60	ES_XP_Phospho2_LM6_261.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_261.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 61	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 61	ES_XP_Phospho2_LM6_262.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_262.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 62	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 62	ES_XP_Phospho2_LM6_263.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_263.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 63	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 63	ES_XP_Phospho2_LM6_264.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_264.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 64	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 64	ES_XP_Phospho2_LM6_265.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_265.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 65	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 65	ES_XP_Phospho2_LM6_266.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_266.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 66	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 66	ES_XP_Phospho2_LM6_267.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_267.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
Sample 67	Homo sapiens	liver	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	IMAC	enrichment of phosphorylated Protein	not synthetic	run 67	ES_XP_Phospho2_LM6_268.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Phospho2_LM6_268.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	IMAC	enrichment of phosphorylated Protein
