#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[plasmodium strain]	comment[proteomexchange accession number]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[modification parameters].3	comment[modification parameters].4	comment[modification parameters].5	comment[modification parameters].6	comment[modification parameters].7	comment[precursor mass tolerance]	comment[fragment mass tolerance]
Sample 52	plasmodium falciparum	not available	merozoites	not applicable	3	run 52	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL11.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL11.RAW	1	10	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 53	plasmodium falciparum	not available	merozoites	not applicable	3	run 53	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL13.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL13.RAW	1	11	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 54	plasmodium falciparum	not available	merozoites	not applicable	3	run 54	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL14.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL14.RAW	1	12	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 55	plasmodium falciparum	not available	merozoites	not applicable	3	run 55	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL15.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL15.RAW	1	13	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 56	plasmodium falciparum	not available	merozoites	not applicable	3	run 56	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL16.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL16.RAW	1	14	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 57	plasmodium falciparum	not available	merozoites	not applicable	3	run 57	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL17.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL17.RAW	1	15	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 58	plasmodium falciparum	not available	merozoites	not applicable	3	run 58	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL18.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL18.RAW	1	16	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 59	plasmodium falciparum	not available	merozoites	not applicable	3	run 59	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL19.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL19.RAW	1	17	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 60	plasmodium falciparum	not available	merozoites	not applicable	3	run 60	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL20.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL20.RAW	1	18	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 61	plasmodium falciparum	not available	merozoites	not applicable	3	run 61	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL21.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL21.RAW	1	19	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 62	plasmodium falciparum	not available	merozoites	not applicable	3	run 62	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL22.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL22.RAW	1	20	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 63	plasmodium falciparum	not available	merozoites	not applicable	3	run 63	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL23.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL23.RAW	1	21	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 64	plasmodium falciparum	not available	merozoites	not applicable	3	run 64	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL24.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL24.RAW	1	22	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 65	plasmodium falciparum	not available	merozoites	not applicable	3	run 65	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL25.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL25.RAW	1	23	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 66	plasmodium falciparum	not available	merozoites	not applicable	3	run 66	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL26.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL26.RAW	1	24	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 67	plasmodium falciparum	not available	merozoites	not applicable	3	run 67	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL27.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL27.RAW	1	25	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 68	plasmodium falciparum	not available	merozoites	not applicable	3	run 68	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL28.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL28.RAW	1	26	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 69	plasmodium falciparum	not available	merozoites	not applicable	3	run 69	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL29.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL29.RAW	1	27	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 70	plasmodium falciparum	not available	merozoites	not applicable	3	run 70	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL30.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL30.RAW	1	28	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
Sample 71	plasmodium falciparum	not available	merozoites	not applicable	3	run 71	proteomic profiling by mass spectrometry	3D7	PXD001684	NT=Data-dependent acquisition;AC=PRIDE:0000627	20111217EL31.RAW	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001684/20111217EL31.RAW	1	29	label free sample	AC=MS:1000557;NT=LTQ FT Ultra	ESI	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	20 ppm	1.0005 Da
