source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[compound]	characteristics[compound]	characteristics[concentration of]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[synthetic peptide]	characteristics[sample amount]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]
Sample 229	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	25 μg	run 207	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y25_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y25_04.raw	4	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 230	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	100 μg	run 208	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y25_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y25_05.raw	5	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 231	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	25 μg	run 208	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y25_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y25_05.raw	5	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 232	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	100 μg	run 209	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y25_06.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y25_06.raw	6	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 233	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	25 μg	run 209	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y25_06.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y25_06.raw	6	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 234	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	100 μg	run 210	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y50_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y50_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 235	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	50 μg	run 210	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y50_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y50_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 236	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	100 μg	run 211	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y50_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y50_02.raw	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 237	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	50 μg	run 211	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y50_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y50_02.raw	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 238	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	100 μg	run 212	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y50_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y50_03.raw	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 239	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	50 μg	run 212	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y50_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y50_03.raw	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 240	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	100 μg	run 213	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y50_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y50_04.raw	4	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 241	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	50 μg	run 213	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y50_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y50_04.raw	4	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 242	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	100 μg	run 214	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y50_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y50_05.raw	5	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 243	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	50 μg	run 214	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y50_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y50_05.raw	5	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 244	Homo sapiens	not applicable	adult	epithelial cervix carcinoma	31Y	female	Black	epithelial cell	Hela	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	100 μg	run 215	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y50_06.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y50_06.raw	6	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 245	Saccharomyces cerevisiae	not applicable	not available	not available	not available	not available	not applicable	not applicable	not applicable	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	50 μg	run 215	proteomic profiling by mass spectrometry	20180816_QE3_nLC3_AH_DIA_H100_Y50_06.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20180816_QE3_nLC3_AH_DIA_H100_Y50_06.raw	6	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 246	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	EGF	kinase inhibitors Cobimetinib	0.5 uM	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 216	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_Cobimetinib_0-5uM_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_Cobimetinib_0-5uM_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 247	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	EGF	kinase inhibitors Cobimetinib	0.5 uM	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 217	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_Cobimetinib_0-5uM_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_Cobimetinib_0-5uM_02.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 248	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	EGF	kinase inhibitors Cobimetinib	0.5 uM	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 218	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_Cobimetinib_0-5uM_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_Cobimetinib_0-5uM_03.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 249	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	EGF	kinase inhibitors Cobimetinib	5 uM	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 219	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_Cobimetinib_5uM_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_Cobimetinib_5uM_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 250	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	EGF	kinase inhibitors Cobimetinib	5 uM	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 220	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_Cobimetinib_5uM_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_Cobimetinib_5uM_02.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 251	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	EGF	kinase inhibitors Cobimetinib	5 uM	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 221	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_Cobimetinib_5uM_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_Cobimetinib_5uM_03.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 252	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	EGF	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 222	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_EGF_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_EGF_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 253	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	EGF	none	not applicable	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 223	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_EGF_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_EGF_02.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 254	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	EGF	none	not applicable	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 224	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_EGF_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_EGF_03.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 255	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	none	not applicable	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 225	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_NoSerum_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_NoSerum_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 256	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	none	not applicable	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 226	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_NoSerum_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_NoSerum_02.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 257	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	none	none	not applicable	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 227	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_NoSerum_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_NoSerum_03.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 258	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	EGF	kinase inhibitors PD-032591	0.5 uM	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 228	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_PD0325901_0-5uM_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_PD0325901_0-5uM_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 259	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	EGF	kinase inhibitors PD-032591	0.5 uM	2	enrichment of phosphorylated Protein	not synthetic	not applicable	run 229	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_PD0325901_0-5uM_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_PD0325901_0-5uM_02.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 260	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	EGF	kinase inhibitors PD-032591	0.5 uM	3	enrichment of phosphorylated Protein	not synthetic	not applicable	run 230	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_PD0325901_0-5uM_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_PD0325901_0-5uM_03.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 261	Homo sapiens	retinal pigment epithelium	not available	normal	not available	female	not available	epithelial cell	not applicable	EGF	kinase inhibitors PD-032591	5 uM	1	enrichment of phosphorylated Protein	not synthetic	not applicable	run 231	proteomic profiling by mass spectrometry	20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_PD0325901_5uM_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD014525/20171125_QE7_nLC14_DBJ_SA_DIAphos_RPE1_pilot2_PD0325901_5uM_01.raw	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1002877;NT=Q Exactive HF-X	not available	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	v1.1.0	NT=ms-proteomics;version=v1.1.0
