#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[growth condition]	characteristics[biological replicate]	characteristics[medium]	characteristics[medium supplements]	characteristics[aeration]	characteristics[temperature]	characteristics[pH]	characteristics[growth phase]	characteristics[growth rate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[file uri]	factor value[strain/breed]	factor value[growth condition]
Sample 68	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Anaerobic	2	Not available	Not available	anaerobiosis	37°C	7	Steady state growth	Not available	Run 68	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07106.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001374	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07106.raw	Escherichia coli BW25113	Anaerobic
Sample 69	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Anaerobic	3	Not available	Not available	anaerobiosis	37°C	7	Steady state growth	Not available	Run 69	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07107.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001375	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07107.raw	Escherichia coli BW25113	Anaerobic
Sample 70	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Xylose	1	M9 minimal medium	Xylose	Not available	37°C	7	Steady state growth	0,55	Run 70	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07109.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001376	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07109.raw	Escherichia coli BW25113	Xylose
Sample 71	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Xylose	2	M9 minimal medium	Xylose	Not available	37°C	7	Steady state growth	0,55	Run 71	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07110.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001377	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07110.raw	Escherichia coli BW25113	Xylose
Sample 72	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Xylose	3	M9 minimal medium	Xylose	Not available	37°C	7	Steady state growth	0,55	Run 72	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07111.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001378	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07111.raw	Escherichia coli BW25113	Xylose
Sample 73	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Mannose	1	M9 minimal medium	Mannose	Not available	37°C	7	Steady state growth	0,47	Run 73	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07113.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001379	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07113.raw	Escherichia coli BW25113	Mannose
Sample 74	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Mannose	2	M9 minimal medium	Mannose	Not available	37°C	7	Steady state growth	0,47	Run 74	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07114.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001380	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07114.raw	Escherichia coli BW25113	Mannose
Sample 75	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Mannose	3	M9 minimal medium	Mannose	Not available	37°C	7	Steady state growth	0,47	Run 75	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07115.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001381	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07115.raw	Escherichia coli BW25113	Mannose
Sample 76	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Galactose	1	M9 minimal medium	Galactose	Not available	37°C	7	Steady state growth	0,26	Run 76	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07117.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001382	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07117.raw	Escherichia coli BW25113	Galactose
Sample 77	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Galactose	2	M9 minimal medium	Galactose	Not available	37°C	7	Steady state growth	0,26	Run 77	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07118.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001383	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07118.raw	Escherichia coli BW25113	Galactose
Sample 78	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Galactose	3	M9 minimal medium	Galactose	Not available	37°C	7	Steady state growth	0,26	Run 78	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07119.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001384	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07119.raw	Escherichia coli BW25113	Galactose
Sample 79	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Succinate	1	M9 minimal medium	Succinate	Not available	37°C	7	Steady state growth	0,44	Run 79	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07121.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001385	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07121.raw	Escherichia coli BW25113	Succinate
Sample 80	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Succinate	2	M9 minimal medium	Succinate	Not available	37°C	7	Steady state growth	0,44	Run 80	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07122.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001386	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07122.raw	Escherichia coli BW25113	Succinate
Sample 81	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Succinate	3	M9 minimal medium	Succinate	Not available	37°C	7	Steady state growth	0,44	Run 81	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07123.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001387	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07123.raw	Escherichia coli BW25113	Succinate
Sample 82	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Fructose	1	M9 minimal medium	Fructose	Not available	37°C	7	Steady state growth	0,65	Run 82	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07125.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001388	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07125.raw	Escherichia coli BW25113	Fructose
Sample 83	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Fructose	2	M9 minimal medium	Fructose	Not available	37°C	7	Steady state growth	0,65	Run 83	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07126.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001389	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07126.raw	Escherichia coli BW25113	Fructose
Sample 84	Escherichia coli	Cell lysate	Escherichia coli BW25113	Not applicable	Prokaryotic cell	Fructose	3	M9 minimal medium	Fructose	Not available	37°C	7	Steady state growth	0,65	Run 84	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	A14-07127.raw	1	Label free sample	NT=Orbitrap Elite	NT=Trypsin;AC=1001251	NT=LysC; AC=1001390	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD000498/A14-07127.raw	Escherichia coli BW25113	Fructose
