source name	characteristics[organism]	characteristics[organism part]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[ethnic group]	characteristics[disease]	characteristics[cell line]	characteristics[infect]	characteristics[time]	assay name	comment[label]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters ]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	Material Type	factor value[infect]	factor value[time]
Sample 9	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 24h	run 8	TMT130C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F8.raw	8	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F8.raw	cell	Severe acute respiratory syndrome coronavirus 2	 24h
Sample 10	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	Bridge	run 8	TMT131N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F8.raw	8	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F8.raw	cell	Severe acute respiratory syndrome coronavirus 2	Bridge
Sample 11	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	SILAC heavy 	run 8	TMT131C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool1_F8.raw	8	1	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool1_F8.raw	cell	none	SILAC heavy 
Sample 1	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	SILAC light 	run 9	TMT126	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	cell	none	SILAC light 
Sample 2	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 2h	run 9	TMT127N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	cell	none	 2h
Sample 3	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 6h	run 9	TMT127C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	cell	none	 6h
Sample 4	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 10h	run 9	TMT128N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	cell	none	 10h
Sample 5	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 24h	run 9	TMT128C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	cell	none	 24h
Sample 6	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 2h	run 9	TMT129N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	cell	Severe acute respiratory syndrome coronavirus 2	 2h
Sample 7	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 6h	run 9	TMT129C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	cell	Severe acute respiratory syndrome coronavirus 2	 6h
Sample 8	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 10h	run 9	TMT130N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	cell	Severe acute respiratory syndrome coronavirus 2	 10h
Sample 9	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 24h	run 9	TMT130C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	cell	Severe acute respiratory syndrome coronavirus 2	 24h
Sample 10	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	Bridge	run 9	TMT131N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	cell	Severe acute respiratory syndrome coronavirus 2	Bridge
Sample 11	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	SILAC heavy 	run 9	TMT131C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F1.raw	1	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F1.raw	cell	none	SILAC heavy 
Sample 1	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	SILAC light 	run 10	TMT126	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	cell	none	SILAC light 
Sample 2	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 2h	run 10	TMT127N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	cell	none	 2h
Sample 3	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 6h	run 10	TMT127C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	cell	none	 6h
Sample 4	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 10h	run 10	TMT128N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	cell	none	 10h
Sample 5	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 24h	run 10	TMT128C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	cell	none	 24h
Sample 6	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 2h	run 10	TMT129N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	cell	Severe acute respiratory syndrome coronavirus 2	 2h
Sample 7	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 6h	run 10	TMT129C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	cell	Severe acute respiratory syndrome coronavirus 2	 6h
Sample 8	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 10h	run 10	TMT130N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	cell	Severe acute respiratory syndrome coronavirus 2	 10h
Sample 9	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 24h	run 10	TMT130C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	cell	Severe acute respiratory syndrome coronavirus 2	 24h
Sample 10	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	Bridge	run 10	TMT131N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	cell	Severe acute respiratory syndrome coronavirus 2	Bridge
Sample 11	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	SILAC heavy 	run 10	TMT131C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F2.raw	2	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F2.raw	cell	none	SILAC heavy 
Sample 1	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	SILAC light 	run 11	TMT126	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	cell	none	SILAC light 
Sample 2	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 2h	run 11	TMT127N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	cell	none	 2h
Sample 3	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 6h	run 11	TMT127C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	cell	none	 6h
Sample 4	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 10h	run 11	TMT128N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	cell	none	 10h
Sample 5	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 24h	run 11	TMT128C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	cell	none	 24h
Sample 6	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 2h	run 11	TMT129N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	cell	Severe acute respiratory syndrome coronavirus 2	 2h
Sample 7	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 6h	run 11	TMT129C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	cell	Severe acute respiratory syndrome coronavirus 2	 6h
Sample 8	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 10h	run 11	TMT130N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	cell	Severe acute respiratory syndrome coronavirus 2	 10h
Sample 9	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 24h	run 11	TMT130C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	cell	Severe acute respiratory syndrome coronavirus 2	 24h
Sample 10	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	Bridge	run 11	TMT131N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	cell	Severe acute respiratory syndrome coronavirus 2	Bridge
Sample 11	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	SILAC heavy 	run 11	TMT131C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F3.raw	3	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F3.raw	cell	none	SILAC heavy 
Sample 1	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	SILAC light 	run 12	TMT126	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F4.raw	4	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F4.raw	cell	none	SILAC light 
Sample 2	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 2h	run 12	TMT127N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F4.raw	4	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F4.raw	cell	none	 2h
Sample 3	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 6h	run 12	TMT127C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F4.raw	4	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F4.raw	cell	none	 6h
Sample 4	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 10h	run 12	TMT128N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F4.raw	4	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F4.raw	cell	none	 10h
Sample 5	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	none	 24h	run 12	TMT128C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F4.raw	4	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F4.raw	cell	none	 24h
Sample 6	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 2h	run 12	TMT129N	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F4.raw	4	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F4.raw	cell	Severe acute respiratory syndrome coronavirus 2	 2h
Sample 7	Homo sapiens	colon	male	72	adult	caucasian	colon cancer	CaCo-2	Severe acute respiratory syndrome coronavirus 2	 6h	run 12	TMT129C	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD017710/20200219_KKL_SARS_CoV2_pool2_F4.raw	4	2	NM=Q Exactive HF	NM=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed;TA=C;AC=UNIMOD:4;MT=fixed	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NE=Trypsin	NE=Lys-C	not available	not available	20200219_KKL_SARS_CoV2_pool2_F4.raw	cell	Severe acute respiratory syndrome coronavirus 2	 6h
