source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[Instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[data file]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]
PXD004209_NP11-sCh-O1004_3-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_3-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_3-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_3-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_4-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_4-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_4-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_4-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_5-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_5-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_5-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_5-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_6-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_6-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_6-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_6-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_7-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_7-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_7-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_7-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_8-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_8-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-sCh-O1004_8-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-sCh-O1004_8-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Chymotrypsin;AC=MS:1001306;CS=(?<=[FYWL])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
