Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[treatment]	Characteristics[compound]	Characteristics[time]	Characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[label]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[treatment]	Factor Value[compound]	Factor Value[time]
Sample 115	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	2	run 88	Lumos_S0684_TM_HS-2DTPP_exp1_E_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F4.raw	4	not applicable	not applicable	TMT130C	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 116	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	3	run 88	Lumos_S0684_TM_HS-2DTPP_exp1_E_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F4.raw	4	not applicable	not applicable	TMT131	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 107	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	5	run 89	Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	5	not applicable	not applicable	TMT126	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	0 h
Sample 108	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	2	run 89	Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	5	not applicable	not applicable	TMT127N	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	0 h
Sample 109	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	1	run 89	Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	5	not applicable	not applicable	TMT127C	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 110	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	2	run 89	Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	5	not applicable	not applicable	TMT128N	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 111	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	3	run 89	Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	5	not applicable	not applicable	TMT128C	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 112	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	1	run 89	Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	5	not applicable	not applicable	TMT129N	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	0 h
Sample 113	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	2	run 89	Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	5	not applicable	not applicable	TMT129C	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	0 h
Sample 114	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	1	run 89	Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	5	not applicable	not applicable	TMT130N	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 115	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	2	run 89	Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	5	not applicable	not applicable	TMT130C	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 116	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	3	run 89	Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F5.raw	5	not applicable	not applicable	TMT131	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 107	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	5	run 90	Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	6	not applicable	not applicable	TMT126	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	0 h
Sample 108	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	2	run 90	Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	6	not applicable	not applicable	TMT127N	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	0 h
Sample 109	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	1	run 90	Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	6	not applicable	not applicable	TMT127C	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 110	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	2	run 90	Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	6	not applicable	not applicable	TMT128N	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 111	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	3	run 90	Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	6	not applicable	not applicable	TMT128C	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 112	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	1	run 90	Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	6	not applicable	not applicable	TMT129N	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	0 h
Sample 113	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	2	run 90	Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	6	not applicable	not applicable	TMT129C	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	0 h
Sample 114	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	1	run 90	Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	6	not applicable	not applicable	TMT130N	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 115	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	2	run 90	Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	6	not applicable	not applicable	TMT130C	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 116	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	3	run 90	Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0684_TM_HS-2DTPP_exp1_E_F6.raw	6	not applicable	not applicable	TMT131	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 117	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	6	run 91	Lumos_S0685_TM_HS-2DTPP_exp1_F_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0685_TM_HS-2DTPP_exp1_F_F1.raw	1	not applicable	not applicable	TMT126	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	0 h
Sample 118	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	2	run 91	Lumos_S0685_TM_HS-2DTPP_exp1_F_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0685_TM_HS-2DTPP_exp1_F_F1.raw	1	not applicable	not applicable	TMT127N	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	0 h
Sample 119	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	1	run 91	Lumos_S0685_TM_HS-2DTPP_exp1_F_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0685_TM_HS-2DTPP_exp1_F_F1.raw	1	not applicable	not applicable	TMT127C	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 120	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	2	run 91	Lumos_S0685_TM_HS-2DTPP_exp1_F_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0685_TM_HS-2DTPP_exp1_F_F1.raw	1	not applicable	not applicable	TMT128N	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 121	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	non-ionic detergent NP-40	0 h	3	run 91	Lumos_S0685_TM_HS-2DTPP_exp1_F_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0685_TM_HS-2DTPP_exp1_F_F1.raw	1	not applicable	not applicable	TMT128C	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	Heat shock	non-ionic detergent NP-40	0 h
Sample 122	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	1	run 91	Lumos_S0685_TM_HS-2DTPP_exp1_F_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0685_TM_HS-2DTPP_exp1_F_F1.raw	1	not applicable	not applicable	TMT129N	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	0 h
Sample 123	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	2	run 91	Lumos_S0685_TM_HS-2DTPP_exp1_F_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Lumos_S0685_TM_HS-2DTPP_exp1_F_F1.raw	1	not applicable	not applicable	TMT129C	AC=MS:1001251;NT=Trypsin	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	38% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	0 h
