Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[treatment]	Characteristics[compound]	Characteristics[time]	Characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[label]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[treatment]	Factor Value[compound]	Factor Value[time]
Sample 59	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	3 h 	3	run 34	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	10	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT128N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	3 h 
Sample 60	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	5 h	3	run 34	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	10	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT128C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	5 h
Sample 61	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	pre-shock	strong ionic detergent SDS	not applicable	3	run 34	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	10	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT129N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	pre-shock	strong ionic detergent SDS	not applicable
Sample 62	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	0 h	3	run 34	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	10	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT129C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	Heat shock	strong ionic detergent SDS	0 h
Sample 63	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	1 h	3	run 34	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	10	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT130N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	Heat shock	strong ionic detergent SDS	1 h
Sample 64	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	2 h	3	run 34	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	10	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT130C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	Heat shock	strong ionic detergent SDS	2 h
Sample 65	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	3 h 	3	run 34	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	10	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT131N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	Heat shock	strong ionic detergent SDS	3 h 
Sample 66	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	5 h	3	run 34	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F10_180727152458.raw	10	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT131C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	Heat shock	strong ionic detergent SDS	5 h
Sample 45	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT126	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	0 h
Sample 46	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	1 h	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT127N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	1 h
Sample 47	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	2 h	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT127C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	2 h
Sample 48	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	3 h 	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT128N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	3 h 
Sample 49	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	5 h	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT128C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	5 h
Sample 50	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	pre-shock	strong ionic detergent SDS	not applicable	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT129N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	pre-shock	strong ionic detergent SDS	not applicable
Sample 51	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	0 h	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT129C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	Heat shock	strong ionic detergent SDS	0 h
Sample 52	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	1 h	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT130N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	Heat shock	strong ionic detergent SDS	1 h
Sample 53	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	2 h	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT130C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	Heat shock	strong ionic detergent SDS	2 h
Sample 54	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	3 h 	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT131N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	Heat shock	strong ionic detergent SDS	3 h 
Sample 55	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	5 h	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT131C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	Heat shock	strong ionic detergent SDS	5 h
Sample 56	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT126	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	0 h
Sample 57	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	1 h	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT127N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	1 h
Sample 58	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	2 h	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT127C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	2 h
Sample 59	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	3 h 	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT128N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	3 h 
Sample 60	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	5 h	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT128C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	control	non-ionic detergent NP-40	5 h
Sample 61	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	pre-shock	strong ionic detergent SDS	not applicable	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT129N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	pre-shock	strong ionic detergent SDS	not applicable
Sample 62	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	0 h	3	run 35	proteomic profiling by mass spectrometer	Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F11_180727172746.raw	11	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT129C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	cell	Heat shock	strong ionic detergent SDS	0 h
