source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[treatment]	characteristics[compound]	characteristics[time]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[label]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[treatment]	factor value[compound]	factor value[time]
Sample 50	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	pre-shock	strong ionic detergent SDS	not applicable	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT129N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	pre-shock	strong ionic detergent SDS	not applicable
Sample 51	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	0 h	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT129C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	0 h
Sample 52	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	1 h	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT130N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	1 h
Sample 53	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	2 h	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT130C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	2 h
Sample 54	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	3 h 	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT131N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	3 h
Sample 55	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	5 h	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT131C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	5 h
Sample 56	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT126	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	0 h
Sample 57	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	1 h	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT127N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	1 h
Sample 58	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	2 h	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT127C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	2 h
Sample 59	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	3 h 	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT128N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	3 h
Sample 60	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	5 h	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT128C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	5 h
Sample 61	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	pre-shock	strong ionic detergent SDS	not applicable	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT129N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	pre-shock	strong ionic detergent SDS	not applicable
Sample 62	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	0 h	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT129C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	0 h
Sample 63	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	1 h	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT130N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	1 h
Sample 64	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	2 h	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT130C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	2 h
Sample 65	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	3 h 	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT131N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	3 h
Sample 66	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	5 h	3	cell	run 29	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F5.raw	1	5	SILAC heavy K:13C(6)15N(2)	SILAC heavy R:13C(6)15N(4)	TMT131C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	5 h
Sample 45	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	0 h	3	cell	run 30	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	1	6	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT126	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	0 h
Sample 46	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	1 h	3	cell	run 30	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	1	6	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT127N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	1 h
Sample 47	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	2 h	3	cell	run 30	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	1	6	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT127C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	2 h
Sample 48	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	3 h 	3	cell	run 30	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	1	6	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT128N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	3 h
Sample 49	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	control	non-ionic detergent NP-40	5 h	3	cell	run 30	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	1	6	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT128C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	control	non-ionic detergent NP-40	5 h
Sample 50	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	pre-shock	strong ionic detergent SDS	not applicable	3	cell	run 30	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	1	6	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT129N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	pre-shock	strong ionic detergent SDS	not applicable
Sample 51	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	0 h	3	cell	run 30	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	1	6	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT129C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	0 h
Sample 52	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	1 h	3	cell	run 30	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	1	6	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT130N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	1 h
Sample 53	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	2 h	3	cell	run 30	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	1	6	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT130C	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	2 h
Sample 54	Homo sapiens	bone marrow	lymphoblast	K-562	adult	chronic myelogenous leukemia	not available	female	53Y	Heat shock	strong ionic detergent SDS	3 h 	3	cell	run 30	proteomic profiling by mass spectrometry	Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD017291/Bert_S1204_TM_SDS-NP40_rep3_R2_F6.raw	1	6	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	TMT131N	AC=MS:1001251;NT=Trypsin	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT;TA=K;MT=fixed;AC=UNIMOD:739	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	NT=TMT;PP=Any N-term;AC=UNIMOD:737;MT=variable	32% NCE	10 ppm	0.02 Da	Heat shock	strong ionic detergent SDS	3 h
