Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[sample amount]	Characteristics[treatment]	Characteristics[biological replicate]	Characteristics[enrichment process]	Characteristics[enrichment method]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[sample amount]	Factor Value[treatment]	Factor Value[enrichment method]
Sample 60	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	25 ug	none	4	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 60	OR10_20160321_HP_RP_neuron_25ug_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_25ug_4.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	25 ug	none	Fe(III)-IMAC
Sample 61	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	2.5 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 61	OR10_20160321_HP_RP_neuron_2p5ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_2p5ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	2.5 ug	none	Fe(III)-IMAC
Sample 62	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	2.5 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 62	OR10_20160321_HP_RP_neuron_2p5ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_2p5ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	2.5 ug	none	Fe(III)-IMAC
Sample 63	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	2.5 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 63	OR10_20160321_HP_RP_neuron_2p5ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_2p5ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	2.5 ug	none	Fe(III)-IMAC
Sample 64	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	2.5 ug	none	4	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 64	OR10_20160321_HP_RP_neuron_2p5ug_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_2p5ug_4.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	2.5 ug	none	Fe(III)-IMAC
Sample 65	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	5 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 65	OR10_20160321_HP_RP_neuron_5ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_5ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	5 ug	none	Fe(III)-IMAC
Sample 66	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	5 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 66	OR10_20160321_HP_RP_neuron_5ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_5ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	5 ug	none	Fe(III)-IMAC
Sample 67	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	5 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 67	OR10_20160321_HP_RP_neuron_5ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_5ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	5 ug	none	Fe(III)-IMAC
Sample 68	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	5 ug	none	4	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 68	OR10_20160321_HP_RP_neuron_5ug_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_5ug_4.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	5 ug	none	Fe(III)-IMAC
Sample 69	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	50 ug	control	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 69	OR10_20160321_HP_RP_neuron_50ug_Control_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_50ug_Control_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	50 ug	control	Fe(III)-IMAC
Sample 70	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	50 ug	control	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 70	OR10_20160321_HP_RP_neuron_50ug_Control_1p2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_50ug_Control_1p2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	50 ug	control	Fe(III)-IMAC
Sample 71	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	50 ug	control	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 71	OR10_20160321_HP_RP_neuron_50ug_Control_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_50ug_Control_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	50 ug	control	Fe(III)-IMAC
Sample 72	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	50 ug	control	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 72	OR10_20160321_HP_RP_neuron_50ug_Control_2p2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_50ug_Control_2p2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	50 ug	control	Fe(III)-IMAC
Sample 73	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	50 ug	control	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 73	OR10_20160321_HP_RP_neuron_50ug_Control_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_50ug_Control_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	50 ug	control	Fe(III)-IMAC
Sample 74	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	50 ug	Epidermal Growth Factor	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 74	OR10_20160321_HP_RP_neuron_50ug_EGF_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_50ug_EGF_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	50 ug	Epidermal Growth Factor	Fe(III)-IMAC
Sample 75	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	50 ug	Epidermal Growth Factor	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 75	OR10_20160321_HP_RP_neuron_50ug_EGF_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_50ug_EGF_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	50 ug	Epidermal Growth Factor	Fe(III)-IMAC
Sample 76	Rattus norvegicus	hippocampal neuron	neuron	not applicable	embryonic day 18	not available	not available	not available	not applicable	50 ug	Epidermal Growth Factor	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 76	OR10_20160321_HP_RP_neuron_50ug_EGF_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_neuron_50ug_EGF_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	50 ug	Epidermal Growth Factor	Fe(III)-IMAC
