#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 70	proteomic profiling by mass spectrometry	26	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RG4_30min_Top10_86ms_RP26_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RG4_30min_Top10_86ms_RP26_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 71	proteomic profiling by mass spectrometry	39	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RG5_30min_Top10_86ms_RP39_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RG5_30min_Top10_86ms_RP39_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 72	proteomic profiling by mass spectrometry	42	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RG6_30min_Top10_86ms_RP42_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RG6_30min_Top10_86ms_RP42_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 73	proteomic profiling by mass spectrometry	8	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RH1_30min_Top10_86ms_RP08_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RH1_30min_Top10_86ms_RP08_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 74	proteomic profiling by mass spectrometry	9	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RH2_30min_Top10_86ms_RP09_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RH2_30min_Top10_86ms_RP09_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 75	proteomic profiling by mass spectrometry	24	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RH3_30min_Top10_86ms_RP24_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RH3_30min_Top10_86ms_RP24_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 76	proteomic profiling by mass spectrometry	25	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RH4_30min_Top10_86ms_RP25_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RH4_30min_Top10_86ms_RP25_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 77	proteomic profiling by mass spectrometry	40	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RH5_30min_Top10_86ms_RP40_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RH5_30min_Top10_86ms_RP40_R1.raw
Sample 28	Homo sapiens	plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	run 78	proteomic profiling by mass spectrometry	41	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Plamsa_03401_RH6_30min_Top10_86ms_RP41_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plamsa_03401_RH6_30min_Top10_86ms_RP41_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 79	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GA1_30min_Top8_86ms_RP01_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GA1_30min_Top8_86ms_RP01_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 80	proteomic profiling by mass spectrometry	16	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GA2_30min_Top8_86ms_RP16_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GA2_30min_Top8_86ms_RP16_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 81	proteomic profiling by mass spectrometry	17	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GA3_30min_Top8_86ms_RP17_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GA3_30min_Top8_86ms_RP17_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 82	proteomic profiling by mass spectrometry	32	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GA4_30min_Top8_86ms_RP32_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GA4_30min_Top8_86ms_RP32_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 83	proteomic profiling by mass spectrometry	33	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GA5_30min_Top8_86ms_RP33_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GA5_30min_Top8_86ms_RP33_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 84	proteomic profiling by mass spectrometry	48	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GA6_30min_Top8_86ms_RP48_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GA6_30min_Top8_86ms_RP48_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 85	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GB1_30min_Top8_86ms_RP02_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GB1_30min_Top8_86ms_RP02_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 86	proteomic profiling by mass spectrometry	15	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GB2_30min_Top8_86ms_RP15_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GB2_30min_Top8_86ms_RP15_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 87	proteomic profiling by mass spectrometry	18	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GB3_30min_Top8_86ms_RP18_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GB3_30min_Top8_86ms_RP18_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 88	proteomic profiling by mass spectrometry	31	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GB4_30min_Top8_86ms_RP31_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GB4_30min_Top8_86ms_RP31_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 89	proteomic profiling by mass spectrometry	34	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GB5_30min_Top8_86ms_RP34_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GB5_30min_Top8_86ms_RP34_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 90	proteomic profiling by mass spectrometry	47	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GB6_30min_Top8_86ms_RP47_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GB6_30min_Top8_86ms_RP47_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 91	proteomic profiling by mass spectrometry	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GC1_30min_Top8_86ms_RP03_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GC1_30min_Top8_86ms_RP03_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 92	proteomic profiling by mass spectrometry	14	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GC2_30min_Top8_86ms_RP14_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GC2_30min_Top8_86ms_RP14_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 93	proteomic profiling by mass spectrometry	19	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GC3_30min_Top8_86ms_RP19_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GC3_30min_Top8_86ms_RP19_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 94	proteomic profiling by mass spectrometry	30	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GC4_30min_Top8_86ms_RP30_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GC4_30min_Top8_86ms_RP30_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 95	proteomic profiling by mass spectrometry	35	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GC5_30min_Top8_86ms_RP35_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GC5_30min_Top8_86ms_RP35_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 96	proteomic profiling by mass spectrometry	46	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GC6_30min_Top8_86ms_RP46_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GC6_30min_Top8_86ms_RP46_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 97	proteomic profiling by mass spectrometry	4	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GD1_30min_Top8_86ms_RP04_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GD1_30min_Top8_86ms_RP04_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 98	proteomic profiling by mass spectrometry	13	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GD2_30min_Top8_86ms_RP13_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GD2_30min_Top8_86ms_RP13_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 99	proteomic profiling by mass spectrometry	20	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GD3_30min_Top8_86ms_RP20_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GD3_30min_Top8_86ms_RP20_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 100	proteomic profiling by mass spectrometry	29	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GD4_30min_Top8_86ms_RP29_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GD4_30min_Top8_86ms_RP29_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 101	proteomic profiling by mass spectrometry	36	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GD5_30min_Top8_86ms_RP36_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GD5_30min_Top8_86ms_RP36_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 102	proteomic profiling by mass spectrometry	45	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GD6_30min_Top8_86ms_RP45_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GD6_30min_Top8_86ms_RP45_R1.raw
Sample 29	Homo sapiens	urine	not available	not available	not available	not available	not available	not available	not available	1	not available	run 103	proteomic profiling by mass spectrometry	5	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD023650/Urine_03195_GE1_30min_Top8_86ms_RP05_R1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	28 NCE	10 ppm	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Urine_03195_GE1_30min_Top8_86ms_RP05_R1.raw
