Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[infect]	Characteristics[disease]	Characteristics[cell line]	Characteristics[individual]	assay name	comment[label]	comment[file uri]	comment[fraction identifier]	comment[biological replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	Material Type	factor value[infect]
Sample 86	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-036	run 86	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017202.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017202.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 87	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-008_H5	run 87	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017114.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017114.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 88	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-019_G6	run 88	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017115.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017115.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 89	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-035_F2	run 89	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017116.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017116.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 90	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-037	run 90	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017204.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017204.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 91	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-038	run 91	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017205.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017205.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 92	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-039	run 92	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017206.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017206.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 93	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-011_H2	run 93	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017134.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017134.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 94	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-016_G9	run 94	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017135.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017135.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 95	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-033_F4	run 95	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017136.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017136.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 96	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-022	run 96	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017190.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017190.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 97	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-023	run 97	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017191.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017191.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 98	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV03-024	run 98	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017192.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017192.raw	cell	Severe acute respiratory syndrome coronavirus 2
