source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[phenotype]	characteristics[disease]	characteristics[cell line]	characteristics[individual]	characteristics[bait]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[phenotype]
Sample 81	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-007_H6	orf7a	1	cell	run 81	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017120.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017120.raw	SARS-Co-V2 proteins
Sample 82	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-020_G5	orf7a	2	cell	run 82	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017121.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017121.raw	SARS-Co-V2 proteins
Sample 83	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-029_F8	orf7a	3	cell	run 83	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017122.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017122.raw	SARS-Co-V2 proteins
Sample 84	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-034	orf7b	1	cell	run 84	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017200.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017200.raw	SARS-Co-V2 proteins
Sample 85	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-035	orf7b	2	cell	run 85	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017201.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017201.raw	SARS-Co-V2 proteins
Sample 86	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-036	orf7b	3	cell	run 86	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017202.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017202.raw	SARS-Co-V2 proteins
Sample 87	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-008_H5	orf8	1	cell	run 87	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017114.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017114.raw	SARS-Co-V2 proteins
Sample 88	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-019_G6	orf8	2	cell	run 88	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017115.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017115.raw	SARS-Co-V2 proteins
Sample 89	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-035_F2	orf8	3	cell	run 89	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017116.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017116.raw	SARS-Co-V2 proteins
Sample 90	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-037	orf9b	1	cell	run 90	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017204.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017204.raw	SARS-Co-V2 proteins
Sample 91	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-038	orf9b	2	cell	run 91	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017205.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017205.raw	SARS-Co-V2 proteins
Sample 92	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-039	orf9b	3	cell	run 92	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017206.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017206.raw	SARS-Co-V2 proteins
Sample 93	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-011_H2	orf9c (protein14)	1	cell	run 93	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017134.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017134.raw	SARS-Co-V2 proteins
Sample 94	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-016_G9	orf9c (protein14)	2	cell	run 94	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017135.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017135.raw	SARS-Co-V2 proteins
Sample 95	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-033_F4	orf9c (protein14)	3	cell	run 95	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017136.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017136.raw	SARS-Co-V2 proteins
Sample 96	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-022	S	1	cell	run 96	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017190.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017190.raw	SARS-Co-V2 proteins
Sample 97	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-023	S	2	cell	run 97	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017191.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017191.raw	SARS-Co-V2 proteins
Sample 98	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV03-024	S	3	cell	run 98	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017192.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017192.raw	SARS-Co-V2 proteins
