source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	characteristics[phenotype]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[file uri]	comment[sdrf version]	comment[sdrf template]
Sample 26	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr26.raw	1	26	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 27	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr27.raw	1	27	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 27	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr27.raw	1	27	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 28	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr28.raw	1	28	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 28	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr28.raw	1	28	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 29	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr29.raw	1	29	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 29	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr29.raw	1	29	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 30	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr30.raw	1	30	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 30	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr30.raw	1	30	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 31	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr31.raw	1	31	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 31	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr31.raw	1	31	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 32	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr32.raw	1	32	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 32	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr32.raw	1	32	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 33	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr33.raw	1	33	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 33	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr33.raw	1	33	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 34	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr34.raw	1	34	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 34	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr34.raw	1	34	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 35	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr35.raw	1	35	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 35	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr35.raw	1	35	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 36	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr36.raw	1	36	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 36	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr36.raw	1	36	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
