source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[phenotype]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[file uri]
Sample 29	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 29	BreastCancerMem_Fr29.raw	29	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr29.raw
Sample 29	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 29	BreastCancerMem_Fr29.raw	29	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr29.raw
Sample 30	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 30	BreastCancerMem_Fr30.raw	30	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr30.raw
Sample 30	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 30	BreastCancerMem_Fr30.raw	30	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr30.raw
Sample 31	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 31	BreastCancerMem_Fr31.raw	31	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr31.raw
Sample 31	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 31	BreastCancerMem_Fr31.raw	31	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr31.raw
Sample 32	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 32	BreastCancerMem_Fr32.raw	32	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr32.raw
Sample 32	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 32	BreastCancerMem_Fr32.raw	32	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr32.raw
Sample 33	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 33	BreastCancerMem_Fr33.raw	33	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr33.raw
Sample 33	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 33	BreastCancerMem_Fr33.raw	33	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr33.raw
Sample 34	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 34	BreastCancerMem_Fr34.raw	34	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr34.raw
Sample 34	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 34	BreastCancerMem_Fr34.raw	34	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr34.raw
Sample 35	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 35	BreastCancerMem_Fr35.raw	35	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr35.raw
Sample 35	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 35	BreastCancerMem_Fr35.raw	35	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr35.raw
Sample 36	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 36	BreastCancerMem_Fr36.raw	36	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr36.raw
Sample 36	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 36	BreastCancerMem_Fr36.raw	36	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr36.raw
