source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[enritchment]	assay name	comment[plasmodium strain]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]
Sample 6	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 6	3D7	PXD015093	3Plex_IMAC_exp2_E3r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E3r.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 7	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 7	3D7	PXD015093	3Plex_IMAC_exp2_E4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E4.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 8	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 8	3D7	PXD015093	3Plex_IMAC_exp2_E4r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E4r.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 9	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 9	3D7	PXD015093	3Plex_IMAC_exp2_E5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E5.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 10	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 10	3D7	PXD015093	3Plex_IMAC_exp2_E5r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E5r.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 11	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 11	3D7	PXD015093	3Plex_IMAC_exp2_E6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E6.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 12	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 12	3D7	PXD015093	3Plex_IMAC_exp2_E6r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E6r.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 13	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 13	3D7	PXD015093	3Plex_IMAC_exp2_E7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E7.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 14	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 14	3D7	PXD015093	3Plex_IMAC_exp2_E7r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E7r.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 15	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 15	3D7	PXD015093	3Plex_IMAC_exp2_E8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E8.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 16	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 16	3D7	PXD015093	3Plex_IMAC_exp2_E8r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E8r.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 17	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 17	3D7	PXD015093	3Plex_IMAC_exp2_E9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E9.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 18	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 18	3D7	PXD015093	3Plex_IMAC_exp2_E9r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E9r.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 19	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 19	3D7	PXD015093	3Plex_IMAC_exp2_E10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E10.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 20	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 20	3D7	PXD015093	3Plex_IMAC_exp2_E10r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E10r.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 21	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 21	3D7	PXD015093	3Plex_IMAC_exp2_E11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E11.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 22	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 22	3D7	PXD015093	3Plex_IMAC_exp2_E11r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E11r.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 23	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 23	3D7	PXD015093	3Plex_IMAC_exp2_E12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E12.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 24	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 24	3D7	PXD015093	3Plex_IMAC_exp2_E12r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E12r.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 25	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 25	3D7	PXD015093	3Plex_IMAC_exp2_E13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E13.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 26	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 26	3D7	PXD015093	3Plex_IMAC_exp2_E13r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E13r.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 27	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 27	3D7	PXD015093	3Plex_IMAC_exp2_E14.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E14.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 28	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 28	3D7	PXD015093	3Plex_IMAC_exp2_E14r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E14r.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
Sample 29	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 29	3D7	PXD015093	3Plex_IMAC_exp2_E15.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/3Plex_IMAC_exp2_E15.raw	1	1	TMT131	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=TMT6plex;PP=Any N-term;TA=K;AC=UNIMOD:737;MT=fixed	20 ppm	0.02 Da
