source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[cell line]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[phenotype]	characteristics[individual]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[phenotype]	factor value[enrichment process]
Sample 34	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4030181	enrichment of phosphorylated Protein	1	Biopsy	run 55	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B2A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B2A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 35	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4030181	enrichment of phosphorylated Protein	1	Biopsy	run 56	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B2B.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B2B.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 36	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	11010247	enrichment of phosphorylated Protein	1	Biopsy	run 57	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B35A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B35A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 37	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	11010310	enrichment of phosphorylated Protein	1	Biopsy	run 58	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B36A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B36A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 38	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	11040041	enrichment of phosphorylated Protein	1	Biopsy	run 59	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B37A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B37A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 39	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	11050016	enrichment of phosphorylated Protein	1	Biopsy	run 60	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B38A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B38A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 40	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	11050061	enrichment of phosphorylated Protein	1	Biopsy	run 61	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B39A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B39A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 41	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4030124	enrichment of phosphorylated Protein	1	Biopsy	run 62	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B3A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B3A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 42	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4030124	enrichment of phosphorylated Protein	1	Biopsy	run 63	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B3B.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B3B.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 43	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	relapse	11060331	enrichment of phosphorylated Protein	1	Biopsy	run 64	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B42A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B42A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	relapse	enrichment of phosphorylated Protein
Sample 44	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	relapse	11020374	enrichment of phosphorylated Protein	1	Biopsy	run 65	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B43A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B43A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	relapse	enrichment of phosphorylated Protein
Sample 45	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4020534	enrichment of phosphorylated Protein	1	Biopsy	run 66	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B4A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B4A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 46	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	relapse	4020534	enrichment of phosphorylated Protein	1	Biopsy	run 67	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B4B.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B4B.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	relapse	enrichment of phosphorylated Protein
Sample 47	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	relapse	4020467	enrichment of phosphorylated Protein	1	Biopsy	run 68	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B5A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B5A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	relapse	enrichment of phosphorylated Protein
Sample 48	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	relapse	4020467	enrichment of phosphorylated Protein	1	Biopsy	run 69	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B5B.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B5B.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	relapse	enrichment of phosphorylated Protein
Sample 49	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	relapse	4020373	enrichment of phosphorylated Protein	1	Biopsy	run 70	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B6A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B6A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	relapse	enrichment of phosphorylated Protein
Sample 50	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	relapse	4020373	enrichment of phosphorylated Protein	1	Biopsy	run 71	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B6B.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B6B.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	relapse	enrichment of phosphorylated Protein
Sample 51	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	relapse	4020348	enrichment of phosphorylated Protein	1	Biopsy	run 72	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B7A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B7A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	relapse	enrichment of phosphorylated Protein
Sample 52	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	relapse	4020348	enrichment of phosphorylated Protein	1	Biopsy	run 73	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B7B.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B7B.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	relapse	enrichment of phosphorylated Protein
Sample 53	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4020328	enrichment of phosphorylated Protein	1	Biopsy	run 74	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B8A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B8A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 54	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4020328	enrichment of phosphorylated Protein	1	Biopsy	run 75	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B8B.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B8B.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 55	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4020325	enrichment of phosphorylated Protein	1	Biopsy	run 76	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140108_OR8_RP_HP_B9A.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140108_OR8_RP_HP_B9A.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 22	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4020303	enrichment of phosphorylated Protein	1	Biopsy	run 77	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140113_OR8_RP_HP_B10A_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140113_OR8_RP_HP_B10A_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 56	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	relapse	4020303	enrichment of phosphorylated Protein	1	Biopsy	run 78	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140113_OR8_RP_HP_B10B.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140113_OR8_RP_HP_B10B.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	relapse	enrichment of phosphorylated Protein
Sample 56	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4020303	enrichment of phosphorylated Protein	1	Biopsy	run 79	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140113_OR8_RP_HP_B10B_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140113_OR8_RP_HP_B10B_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 23	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4020361	enrichment of phosphorylated Protein	1	Biopsy	run 80	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140113_OR8_RP_HP_B12A_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140113_OR8_RP_HP_B12A_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 57	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4020351	enrichment of phosphorylated Protein	1	Biopsy	run 81	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140113_OR8_RP_HP_B13B.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140113_OR8_RP_HP_B13B.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
Sample 57	Homo sapiens	breast	not available	not applicable	not applicable	not available	not available	not available	Triple-negative breast cancer	no relapse	4020351	enrichment of phosphorylated Protein	1	Biopsy	run 82	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20140113_OR8_RP_HP_B13B_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20140113_OR8_RP_HP_B13B_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	no relapse	enrichment of phosphorylated Protein
