source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[file uri]	comment[sdrf version]	comment[sdrf template]
Sample 72	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 72	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-14.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-14.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 73	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 73	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-15.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-15.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 74	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 74	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-16.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-16.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 75	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 75	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-17.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-17.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 76	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 76	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-18.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-18.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 77	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 77	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-19.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-19.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 78	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 78	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-2.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-2.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 79	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 79	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-20.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-20.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 80	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 80	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-21.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-21.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 81	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 81	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-22.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-22.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 82	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 82	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-23.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-23.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 83	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 83	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-24.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-24.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 84	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 84	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-25.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-25.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 85	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 85	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-26.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-26.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 86	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 86	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-27.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-27.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 87	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 87	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-28.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-28.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 88	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 88	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-29.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-29.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 89	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 89	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-3.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-3.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 90	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 90	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-30.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-30.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 91	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 91	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-31.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-31.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 92	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 92	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-32.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-32.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 93	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 93	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-33.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-33.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 94	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 94	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-34.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-34.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 95	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 95	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-35.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-35.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 96	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 96	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-36.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-36.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 97	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 97	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-37.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-37.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 98	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 98	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-38.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-38.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 99	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 99	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-39.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-39.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 100	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 100	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-4.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-4.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 101	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 101	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-40.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-40.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 102	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 102	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-41.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-41.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 103	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 103	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-42.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-42.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 104	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 104	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-43.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-43.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 105	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 105	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-44.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-44.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 106	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 106	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-45.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-45.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 107	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 107	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-6-46.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-6-46.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
